number,steps
6922151327,997
3179222657,996
3179222657,996
3179222657,996
18637530422,996
18637530423,996
18644159742,996
18644159743,996
18666356767,996
18971087343,996
19014691710,996
19014691711,996
19054257742,996
19054257743,996
19075335940,996
19075335941,996
19075335942,996
19075335944,996
19075335946,996
19075335948,996
19075335949,996
19075335950,996
19075335951,996
19075335953,996
19075335958,996
19075335959,996
19075335961,996
19075335964,996
19075335965,996
19075335966,996
19075335967,996
19075335969,996
19075335975,996
19075335977,996
19075335998,996
19075335999,996
19075336008,996
19075336009,996
19075336010,996
19075336012,996
19075336013,996
19075336017,996
19075336022,996
19075336023,996
19075336056,996
19075336058,996
19075336060,996
19075336061,996
19075336075,996
19075336081,996
19075336082,996
19075336083,996
19075336095,996
19075336103,996
19075336107,996
19075336155,996
19075336188,996
19075336189,996
19075336190,996
19075336191,996
19193149656,996
19193149658,996
19193149660,996
19193149661,996
19279396862,996
19279396863,996
19291498223,996
19292624177,996
19292624178,996
19292624179,996
19292624287,996
19322524098,996
19322524099,996
19485314107,996
19667455135,996
19921655275,996
19926031785,996
20766453982,996
20766453983,996
9318765211,995
9322079871,995
9507345855,995
9527128871,995
9537667970,995
9537667971,995
9537667972,995
9537667973,995
9537667974,995
9537667975,995
9537667979,995
9537667982,995
9537667983,995
9537667999,995
9537668004,995
9537668005,995
9537668006,995
9537668011,995
9537668028,995
9537668029,995
9537668030,995
9537668041,995
9537668094,995
9537668095,995
9596574828,995
9596574829,995
9596574830,995
9639698431,995
9646312089,995
9661262049,995
10383226991,995
4768833991,994
4768833991,994
4768833991,994
4768834002,994
4768834002,994
4768834002,994
4768834003,994
4768834003,994
4768834003,994
4768834014,994
4768834014,994
4768834014,994
4768834015,994
4768834015,994
4768834015,994
4768834047,994
4768834047,994
4768834047,994
4798287414,994
4798287414,994
4798287414,994
4798287415,994
4798287415,994
4798287415,994
